Location,Latitude,Longitude,Time,Temp_F
Maryville MO,40.346102,-94.872471,2023-08-09 00:15:43,70
Los Angeles CA,34.052235,-118.243683,2023-08-09 00:15:43,68
Miami FL,25.77427,-80.19366,2023-08-09 00:15:43,70
New York NY,40.73061,-73.935242,2023-08-09 00:15:43,77
ELY MN,47.903237,-91.867087,2023-08-09 00:16:48,74
Death Valley CA,36.5323,-116.93,2023-08-09 00:16:48,71
Maryville MO,40.346102,-94.872471,2023-08-09 00:16:48,72
Los Angeles CA,34.052235,-118.243683,2023-08-09 00:16:48,68
Miami FL,25.77427,-80.19366,2023-08-09 00:16:48,69
New York NY,40.73061,-73.935242,2023-08-09 00:16:48,68
